Pos,Pts,Team name,Best,2nd best,Provenance,Official
1,1936,Trillium Carnage,1 (1000) Coup de Foudre,2 (936) Bye Bye,,1 (0)
2,1881,Louis Luncheonette,1 (1000) Bye Bye,3 (881) Movember,,2 (0)
3,1881,Outs,1 (1000) Movember,3 (881) Bye Bye,,3 (0)
4,1817,NinjaX,2 (986) Movember,4 (831) Coup de Foudre,,4 (0)
5,1722,Turbo Fluo,2 (936) Coup de Foudre,5 (786) Bye Bye,,5 (0)
6,1587,Vallée des Licornes,3 (881) Coup de Foudre,7 (706) Movember,,6 (0)
7,1576,Sugar Mommies,4 (831) Movember,6 (745) Bye Bye,,7 (0)
8,1572,Rebellion,5 (786) Movember,5 (786) Coup de Foudre,,8 (0)
9,1500,Squeezy Lemon,4 (831) Bye Bye,8 (669) Movember,,9 (0)
10,1341,UltiBattleDisc l'équipe d'Ultimate Récréatif ,7 (706) Bye Bye,9 (635) Movember,,10 (0)
11,1278,KGB,7 (706) Coup de Foudre,11 (572) Bye Bye,,11 (0)
12,1272,Qg,8 (669) Bye Bye,10 (603) Coup de Foudre,,12 (0)
13,1066,Chainsaw,10 (603) Movember,15 (463) Bye Bye,,14 (1)
14,1066,9h50,10 (603) Bye Bye,15 (463) Movember,,15 (1)
15,1058,Douze Singes,12 (543) Movember,13 (515) Coup de Foudre,,16 (1)
16,1016,Quality Control,11 (572) Movember,2 (444) Bonne annee,,17 (1)
17,1000,Joyeux compagnons,1 (500) La Flotte,1 (500) Oktober Disk,,13 (-4)
18,945,Light Weight,11 (572) Coup de Foudre,19 (373) Bye Bye,,18 (0)
19,937,Piggy Pogo Hippo,12 (543) Bye Bye,18 (394) Coup de Foudre,,19 (0)
20,928,Disklock,14 (489) Coup de Foudre,16 (439) Movember,,20 (0)
21,916,Marianne,12 (543) Coup de Foudre,19 (373) Movember,,21 (0)
22,855,Grosses,16 (439) Coup de Foudre,17 (416) Movember,,22 (0)
23,832,James Street Bulldogs,17 (416) Coup de Foudre,17 (416) Bye Bye,,23 (0)
24,778,L'équipe Pick-Up,2 (444) La Flotte,21 (334) Coup de Foudre,,24 (0)
